Scale,Dataset,Image,Method,PSNR,SSIM
4x,BSDS100,69040.png,bicubic,24.89415932,0.5878898501
4x,BSDS100,76053.png,bicubic,29.01769447,0.700768888
4x,BSDS100,78004.png,bicubic,25.3007412,0.6843053699
4x,BSDS100,8023.png,bicubic,29.0946579,0.8456559181
4x,BSDS100,85048.png,bicubic,24.62615585,0.6368595958
4x,BSDS100,86000.png,bicubic,25.11264038,0.7256294489
4x,BSDS100,86016.png,bicubic,23.03392029,0.3259014487
4x,BSDS100,86068.png,bicubic,27.637146,0.5723871589
4x,BSDS100,87046.png,bicubic,25.75037193,0.7345923781
4x,BSDS100,89072.png,bicubic,26.00772095,0.6809390187
4x,BSDS100,97033.png,bicubic,24.04353333,0.6612514853
4x,Manga109,AisazuNihaIrarenai.png,bicubic,28.50977135,0.757183969
4x,Manga109,AkkeraKanjinchou.png,bicubic,23.67111588,0.7083823085
4x,Manga109,Akuhamu.png,bicubic,31.13718796,0.9007883668
4x,Manga109,AosugiruHaru.png,bicubic,31.42298698,0.9260749817
4x,Manga109,AppareKappore.png,bicubic,25.43606758,0.7957192659
4x,Manga109,Arisa.png,bicubic,26.0406971,0.8527686
4x,Manga109,ARMS.png,bicubic,25.92998314,0.7163157463
4x,Manga109,BakuretsuKungFuGirl.png,bicubic,25.05678558,0.795385778
4x,Manga109,Belmondo.png,bicubic,24.21733093,0.7786385417
4x,Manga109,BEMADER_P.png,bicubic,23.03773689,0.7859349847
4x,Manga109,BokuHaSitatakaKun.png,bicubic,22.95211029,0.8022539616
4x,Manga109,BurariTessenTorimonocho.png,bicubic,23.41375732,0.711943984
4x,Manga109,ByebyeC-BOY.png,bicubic,25.89564323,0.8660988808
4x,Manga109,Count3DeKimeteAgeru.png,bicubic,24.99725723,0.805318594
4x,Manga109,DollGun.png,bicubic,24.37255669,0.7864183784
4x,Manga109,Donburakokko.png,bicubic,23.82928848,0.7677481174
4x,Manga109,DualJustice.png,bicubic,23.82244301,0.8127126694
4x,Manga109,EienNoWith.png,bicubic,28.55038834,0.9339287281
4x,Manga109,EvaLady.png,bicubic,28.38230133,0.8558710217
4x,Manga109,EverydayOsakanaChan.png,bicubic,26.51059914,0.9065634608
4x,Manga109,GakuenNoise.png,bicubic,25.15435028,0.8183390498
4x,Manga109,GarakutayaManta.png,bicubic,25.45666695,0.7959420681
4x,Manga109,GinNoChimera.png,bicubic,28.23286057,0.9081477523
4x,Manga109,GOOD_KISS_Ver2.png,bicubic,25.94322014,0.8157025576
4x,Manga109,Hamlet.png,bicubic,22.74167061,0.8376356363
4x,Manga109,HanzaiKousyouninMinegishiEitarou.png,bicubic,25.34110832,0.8368914127
4x,Manga109,HaruichibanNoFukukoro.png,bicubic,28.51519775,0.9132384062
4x,Manga109,HarukaRefrain.png,bicubic,27.40820885,0.8664443493
4x,Manga109,HealingPlanet.png,bicubic,26.27944756,0.8838856816
4x,Manga109,HeiseiJimen.png,bicubic,26.89687538,0.8530829549
4x,Manga109,HighschoolKimengumi_vol01.png,bicubic,20.53029823,0.7382645011
4x,Manga109,HighschoolKimengumi_vol20.png,bicubic,21.57414246,0.7377738953
4x,Manga109,HinagikuKenzan.png,bicubic,28.16964722,0.8017862439
4x,Manga109,HisokaReturns.png,bicubic,25.18909264,0.6534641385
4x,Manga109,JangiriPonpon.png,bicubic,22.76040077,0.7477167845
4x,Manga109,JijiBabaFight.png,bicubic,25.82146454,0.8119120598
4x,Manga109,Joouari.png,bicubic,24.21088791,0.7578805089
4x,Manga109,Jyovolley.png,bicubic,26.44500923,0.8766391277
4x,Manga109,KarappoHighschool.png,bicubic,28.76232147,0.8857613802
4x,Manga109,KimiHaBokuNoTaiyouDa.png,bicubic,22.94137573,0.697547555
4x,Manga109,KoukouNoHitotachi.png,bicubic,25.60429382,0.7268605828
4x,Manga109,KuroidoGanka.png,bicubic,26.32824326,0.808650136
4x,Manga109,KyokugenCyclone.png,bicubic,18.76847076,0.5582022667
4x,Manga109,LancelotFullThrottle.png,bicubic,28.13216972,0.9025604129
4x,Manga109,LoveHina_vol01.png,bicubic,22.2203598,0.8412561417
4x,Manga109,LoveHina_vol14.png,bicubic,23.79952431,0.7571057677
4x,Manga109,MAD_STONE.png,bicubic,29.57344818,0.8669987917
4x,Manga109,MadouTaiga.png,bicubic,22.96127701,0.7405462861
4x,Manga109,MagicianLoad.png,bicubic,24.26954651,0.670783639
4x,Manga109,MagicStarGakuin.png,bicubic,24.09955597,0.7703120112
4x,Manga109,MariaSamaNihaNaisyo.png,bicubic,24.44792557,0.8452060819
4x,Manga109,MayaNoAkaiKutsu.png,bicubic,27.49993515,0.8561683893
4x,Manga109,MemorySeijin.png,bicubic,34.52834702,0.8837377429
4x,Manga109,MeteoSanStrikeDesu.png,bicubic,28.41034889,0.8801876903
4x,Manga109,MiraiSan.png,bicubic,21.18740845,0.5682172775
4x,Manga109,MisutenaideDaisy.png,bicubic,26.92633438,0.8934838176
4x,Manga109,MoeruOnisan_vol01.png,bicubic,23.84624481,0.8269327879
4x,Manga109,MoeruOnisan_vol19.png,bicubic,25.32805634,0.8080119491
4x,Manga109,MomoyamaHaikagura.png,bicubic,22.40498352,0.6399559379
4x,Manga109,MukoukizuNoChonbo.png,bicubic,26.68642807,0.9101536274
4x,Manga109,MutekiBoukenSyakuma.png,bicubic,24.95024109,0.8280920386
4x,Manga109,Nekodama.png,bicubic,24.2769413,0.8142196536
4x,Manga109,NichijouSoup.png,bicubic,27.2578125,0.8772972822
4x,Manga109,Ningyoushi.png,bicubic,29.14004326,0.8601438999
4x,Manga109,OhWareraRettouSeitokai.png,bicubic,25.85247803,0.8437827229
4x,Manga109,OL_Lunch.png,bicubic,21.5892868,0.7916857004
4x,Manga109,ParaisoRoad.png,bicubic,25.60538101,0.8147156835
4x,Manga109,PikaruGenkiDesu.png,bicubic,23.49982834,0.7678245902
4x,Manga109,PLANET7.png,bicubic,25.9554882,0.8124108911
4x,Manga109,PlatinumJungle.png,bicubic,24.6257019,0.8112254739
4x,Manga109,PrayerHaNemurenai.png,bicubic,26.1658268,0.645144701
4x,Manga109,PrismHeart.png,bicubic,28.27400398,0.8905092478
4x,Manga109,PsychoStaff.png,bicubic,27.9408474,0.8676321507
4x,Manga109,Raphael.png,bicubic,23.70192528,0.773997426
4x,Manga109,ReveryEarth.png,bicubic,25.31755066,0.774751544
4x,Manga109,RinToSiteSippuNoNaka.png,bicubic,25.56854439,0.8778848052
4x,Manga109,RisingGirl.png,bicubic,25.53412628,0.7821038365
4x,Manga109,Saisoku.png,bicubic,23.08638573,0.7248594761
4x,Manga109,SaladDays_vol01.png,bicubic,26.29352951,0.8344523311
4x,Manga109,SaladDays_vol18.png,bicubic,27.19715881,0.8500950336
4x,Manga109,SamayoeruSyonenNiJunaiWo.png,bicubic,25.30841827,0.7420645952
4x,Manga109,SeisinkiVulnus.png,bicubic,26.94231224,0.8015404344
4x,Manga109,ShimatteIkouze_vol01.png,bicubic,24.03395081,0.8482204676
4x,Manga109,ShimatteIkouze_vol26.png,bicubic,21.54418564,0.8168011904
4x,Manga109,SonokiDeABC.png,bicubic,26.59325027,0.8182815313
4x,Manga109,SyabondamaKieta.png,bicubic,25.18159676,0.7744603157
4x,Manga109,TaiyouNiSmash.png,bicubic,29.56736755,0.8797200322
4x,Manga109,TapkunNoTanteisitsu.png,bicubic,27.08029175,0.8817465305
4x,Manga109,TasogareTsushin.png,bicubic,25.25543976,0.8284787536
4x,Manga109,TennenSenshiG.png,bicubic,20.60620308,0.6944151521
4x,Manga109,TensiNoHaneToAkumaNoShippo.png,bicubic,23.95832443,0.7540043592
4x,Manga109,TetsuSan.png,bicubic,21.28971291,0.8447968364
4x,Manga109,ThatsIzumiko_000.png,bicubic,18.61744499,0.5459587574
4x,Manga109,TotteokiNoABC.png,bicubic,26.9334259,0.8734954596
4x,Manga109,ToutaMairimasu.png,bicubic,21.78868866,0.7303077579
4x,Manga109,TouyouKidan.png,bicubic,23.38570023,0.7942067981
4x,Manga109,TsubasaNoKioku.png,bicubic,29.50801086,0.8202422261
4x,Manga109,UchiNoNyansDiary_000.png,bicubic,22.65074158,0.8504947424
4x,Manga109,UchuKigekiM774.png,bicubic,23.41938019,0.6092562079
4x,Manga109,UltraEleven.png,bicubic,19.57191277,0.6982943416
4x,Manga109,UnbalanceTokyo.png,bicubic,24.30777359,0.802534759
4x,Manga109,WarewareHaOniDearu.png,bicubic,20.55182266,0.6271190643
4x,Manga109,YamatoNoHane.png,bicubic,28.06228447,0.9054841399
4x,Manga109,YasasiiAkuma.png,bicubic,24.7140789,0.8093817234
4x,Manga109,YouchienBoueigumi.png,bicubic,23.65222549,0.84029603
4x,Manga109,YoumaKourin.png,bicubic,25.06673431,0.7564762831
4x,Manga109,YukiNoFuruMachi.png,bicubic,31.44942474,0.8974909186
4x,Manga109,YumeiroCooking.png,bicubic,25.0275383,0.7995724678
4x,Manga109,YumeNoKayoiji.png,bicubic,28.15834999,0.7807090282
4x,Set14,baboon.png,bicubic,22.2666626,0.4477699399
4x,Set14,barbara.png,bicubic,25.15802765,0.6901720762
4x,Set14,bridge.png,bicubic,24.41967773,0.5623968244
4x,Set14,coastguard.png,bicubic,25.34895325,0.5309060812
4x,Set14,comic.png,bicubic,22.23809814,0.6114488244
4x,Set14,face.png,bicubic,31.70193672,0.7579300404
4x,Set14,flowers.png,bicubic,25.86511612,0.7400761247
4x,Set14,foreman.png,bicubic,27.36130905,0.8432783484
4x,Set14,lenna.png,bicubic,29.94353485,0.8190459609
4x,Set14,man.png,bicubic,25.77377701,0.6782847643
4x,Set14,monarch.png,bicubic,27.58968735,0.8843061924
4x,Set14,pepper.png,bicubic,29.23171234,0.8271178007
4x,Set14,ppt3.png,bicubic,22.3887825,0.8347203135
4x,Set14,zebra.png,bicubic,24.63098526,0.7009143829
4x,Set5,baby.png,bicubic,31.87685013,0.8608499765
4x,Set5,bird.png,bicubic,30.08185196,0.8692815304
4x,Set5,butterfly.png,bicubic,22.18127251,0.7321920991
4x,Set5,head.png,bicubic,31.73549843,0.759457767
4x,Set5,woman.png,bicubic,26.47878265,0.8311548233
4x,Urban100,img_001.png,bicubic,25.14861107,0.6719768643
4x,Urban100,img_002.png,bicubic,24.23033524,0.6812357306
4x,Urban100,img_003.png,bicubic,22.08034706,0.5543336272
4x,Urban100,img_004.png,bicubic,21.14065933,0.6802268028
4x,Urban100,img_005.png,bicubic,23.3842659,0.8376939297
4x,Urban100,img_006.png,bicubic,20.56134796,0.4920761585
4x,Urban100,img_007.png,bicubic,26.16886139,0.7679771781
4x,Urban100,img_008.png,bicubic,19.78777695,0.4979711175
4x,Urban100,img_009.png,bicubic,30.93399429,0.8584300876
4x,Urban100,img_010.png,bicubic,23.66758537,0.7899549007
4x,Urban100,img_011.png,bicubic,15.97244167,0.5964987278
4x,Urban100,img_012.png,bicubic,22.56549454,0.6133518219
4x,Urban100,img_013.png,bicubic,25.94445801,0.7202601433
4x,Urban100,img_014.png,bicubic,21.40985107,0.5864347816
4x,Urban100,img_015.png,bicubic,23.07814789,0.6093880534
4x,Urban100,img_016.png,bicubic,25.55345535,0.8301399946
4x,Urban100,img_017.png,bicubic,23.53539467,0.718485415
4x,Urban100,img_018.png,bicubic,24.91021729,0.6234262586
4x,Urban100,img_019.png,bicubic,19.13430786,0.6582142115
4x,Urban100,img_020.png,bicubic,20.54493713,0.5983785391
4x,Urban100,img_021.png,bicubic,27.6835289,0.7146855593
4x,Urban100,img_022.png,bicubic,25.19456482,0.7012097239
4x,Urban100,img_023.png,bicubic,26.46585274,0.8047589064
4x,Urban100,img_024.png,bicubic,18.26038742,0.4687696099
4x,Urban100,img_025.png,bicubic,26.18010712,0.7990883589
4x,Urban100,img_026.png,bicubic,25.46666908,0.6149109006
4x,Urban100,img_027.png,bicubic,26.64755821,0.7258924246
4x,Urban100,img_028.png,bicubic,28.54179192,0.8152167797
4x,Urban100,img_029.png,bicubic,22.87484741,0.7151735425
4x,Urban100,img_030.png,bicubic,21.72355843,0.6318771243
4x,Urban100,img_031.png,bicubic,22.82792091,0.6893302202
4x,Urban100,img_032.png,bicubic,26.05217934,0.7535846233
4x,Urban100,img_033.png,bicubic,24.22349167,0.6768298745
4x,Urban100,img_034.png,bicubic,21.47610664,0.4833542407
4x,Urban100,img_035.png,bicubic,23.35285568,0.7143934965
4x,Urban100,img_036.png,bicubic,25.30760765,0.7909110188
4x,Urban100,img_037.png,bicubic,23.65366745,0.6970661879
4x,Urban100,img_038.png,bicubic,24.66357231,0.5310986638
4x,Urban100,img_039.png,bicubic,20.94597816,0.5902767777
4x,Urban100,img_040.png,bicubic,19.3918457,0.7053444386
4x,Urban100,img_041.png,bicubic,21.05154419,0.6720536351
4x,Urban100,img_042.png,bicubic,24.86505127,0.7702984214
4x,Urban100,img_043.png,bicubic,22.12346268,0.7885138392
4x,Urban100,img_044.png,bicubic,26.95556259,0.7269425988
4x,Urban100,img_045.png,bicubic,20.99245453,0.5226665139
4x,Urban100,img_046.png,bicubic,22.80770493,0.6858552098
4x,Urban100,img_047.png,bicubic,20.06811523,0.6323225498
4x,Urban100,img_048.png,bicubic,18.28933907,0.6819652915
4x,Urban100,img_049.png,bicubic,20.56360245,0.5967704058
4x,Urban100,img_050.png,bicubic,23.7239418,0.671184659
4x,Urban100,img_051.png,bicubic,24.90850258,0.7429085374
4x,Urban100,img_052.png,bicubic,23.84499359,0.7426145673
4x,Urban100,img_053.png,bicubic,20.33994865,0.5980956554
4x,Urban100,img_054.png,bicubic,20.03572655,0.5339704156
4x,Urban100,img_055.png,bicubic,25.08968735,0.7856922746
4x,Urban100,img_056.png,bicubic,22.23606873,0.6304965615
4x,Urban100,img_057.png,bicubic,26.19524956,0.7983398438
4x,Urban100,img_058.png,bicubic,22.45631981,0.7285520434
4x,Urban100,img_059.png,bicubic,20.54705048,0.662160933
4x,Urban100,img_060.png,bicubic,21.11760712,0.443067342
4x,Urban100,img_061.png,bicubic,22.98345757,0.6323778629
4x,Urban100,img_062.png,bicubic,19.95653915,0.6531526446
4x,Urban100,img_063.png,bicubic,17.99071884,0.4333111644
4x,Urban100,img_064.png,bicubic,24.9673481,0.7064669728
4x,Urban100,img_065.png,bicubic,23.99574661,0.6142286658
4x,Urban100,img_066.png,bicubic,21.38496208,0.5601195693
4x,Urban100,img_067.png,bicubic,17.0569973,0.7116189599
4x,Urban100,img_068.png,bicubic,26.95055389,0.7499938607
4x,Urban100,img_069.png,bicubic,22.95269012,0.6327775121
4x,Urban100,img_070.png,bicubic,21.55447388,0.5292288065
4x,Urban100,img_071.png,bicubic,25.76657295,0.5586568117
4x,Urban100,img_072.png,bicubic,16.74901962,0.5664633512
4x,Urban100,img_073.png,bicubic,19.53209305,0.4393592477
4x,Urban100,img_074.png,bicubic,22.24283981,0.5681985617
4x,Urban100,img_075.png,bicubic,27.13528824,0.8033469915
4x,Urban100,img_076.png,bicubic,21.63892365,0.6337182522
4x,Urban100,img_077.png,bicubic,22.04750443,0.5996574163
4x,Urban100,img_078.png,bicubic,25.76834869,0.6801479459
4x,Urban100,img_079.png,bicubic,23.88309479,0.5951881409
4x,Urban100,img_080.png,bicubic,32.80350113,0.9187117219
4x,Urban100,img_081.png,bicubic,28.61008453,0.8940020204
4x,Urban100,img_082.png,bicubic,27.73359299,0.8743514419
4x,Urban100,img_083.png,bicubic,20.55485153,0.5586766005
4x,Urban100,img_084.png,bicubic,26.54421234,0.7189460397
4x,Urban100,img_085.png,bicubic,26.00836754,0.8430965543
4x,Urban100,img_086.png,bicubic,28.0956459,0.8347761631
4x,Urban100,img_087.png,bicubic,22.94795227,0.7467609048
4x,Urban100,img_088.png,bicubic,18.66145897,0.4159638584
4x,Urban100,img_089.png,bicubic,25.48952484,0.6246214509
4x,Urban100,img_090.png,bicubic,30.58753586,0.8902423382
4x,Urban100,img_091.png,bicubic,22.21329117,0.5281282067
4x,Urban100,img_092.png,bicubic,16.66708374,0.4461702704
4x,Urban100,img_093.png,bicubic,23.63397408,0.8054725528
4x,Urban100,img_094.png,bicubic,25.41917038,0.7037264705
4x,Urban100,img_095.png,bicubic,18.79803658,0.2847411036
4x,Urban100,img_096.png,bicubic,21.42896461,0.6932788491
4x,Urban100,img_097.png,bicubic,23.07965469,0.6473389268
4x,Urban100,img_098.png,bicubic,19.71016884,0.3979109228
4x,Urban100,img_099.png,bicubic,22.48056793,0.5964406729
4x,Urban100,img_100.png,bicubic,22.30850029,0.5999055505
8x,BSDS100,101085.png,bicubic,21.69711113,0.3884301484
8x,BSDS100,101087.png,bicubic,25.11444283,0.7037742734
8x,BSDS100,102061.png,bicubic,24.16167259,0.7077667117
8x,BSDS100,103070.png,bicubic,26.96899223,0.6934986711
8x,BSDS100,105025.png,bicubic,23.93799591,0.5529752374
8x,BSDS100,106024.png,bicubic,29.024189,0.8161161542
8x,BSDS100,108005.png,bicubic,22.63584328,0.5029072165
8x,BSDS100,108070.png,bicubic,21.71390152,0.4026423097
8x,BSDS100,108082.png,bicubic,23.73807144,0.6040907502
8x,BSDS100,109053.png,bicubic,26.28206062,0.657599628
8x,BSDS100,119082.png,bicubic,20.08376122,0.4540925622
8x,BSDS100,12084.png,bicubic,23.84458923,0.4894641042
8x,BSDS100,123074.png,bicubic,26.06869888,0.6091663837
8x,BSDS100,126007.png,bicubic,25.28974342,0.7081806064
8x,BSDS100,130026.png,bicubic,22.94872475,0.5190496445
8x,BSDS100,134035.png,bicubic,19.88487625,0.4234033823
8x,BSDS100,14037.png,bicubic,29.77226067,0.8028983474
8x,BSDS100,143090.png,bicubic,29.09156418,0.8156498671
8x,BSDS100,145086.png,bicubic,22.44861794,0.5835158229
8x,BSDS100,147091.png,bicubic,22.98009109,0.6905024648
8x,BSDS100,148026.png,bicubic,18.95900536,0.3800438046
8x,BSDS100,148089.png,bicubic,20.72230339,0.3708715439
8x,BSDS100,156065.png,bicubic,24.01396942,0.4603469968
8x,BSDS100,157055.png,bicubic,23.12620163,0.5782856941
8x,BSDS100,159008.png,bicubic,22.21076202,0.5703731179
8x,BSDS100,160068.png,bicubic,23.58086586,0.7046980262
8x,BSDS100,16077.png,bicubic,24.34206009,0.5698334575
8x,BSDS100,163085.png,bicubic,26.20685577,0.662437737
8x,BSDS100,167062.png,bicubic,25.97754478,0.8186172247
8x,BSDS100,167083.png,bicubic,18.88401222,0.3439165056
8x,BSDS100,170057.png,bicubic,26.02733803,0.6300848722
8x,BSDS100,175032.png,bicubic,20.15916824,0.2239844203
8x,BSDS100,175043.png,bicubic,21.84433365,0.3653081656
8x,BSDS100,182053.png,bicubic,21.57890129,0.5821940303
8x,BSDS100,189080.png,bicubic,26.71531868,0.7991038561
8x,BSDS100,19021.png,bicubic,23.38723183,0.5590130687
8x,BSDS100,196073.png,bicubic,27.72361565,0.5055601597
8x,BSDS100,197017.png,bicubic,25.46011734,0.6083701253
8x,BSDS100,208001.png,bicubic,25.24161339,0.5455474854
8x,BSDS100,210088.png,bicubic,25.24823952,0.7204917669
8x,BSDS100,21077.png,bicubic,22.83174515,0.5797579885
8x,BSDS100,216081.png,bicubic,22.95598984,0.5496653914
8x,BSDS100,219090.png,bicubic,24.00939178,0.6580273509
8x,BSDS100,220075.png,bicubic,22.03061867,0.6446197629
8x,BSDS100,223061.png,bicubic,23.10450745,0.495043844
8x,BSDS100,227092.png,bicubic,31.54644966,0.8179532886
8x,BSDS100,229036.png,bicubic,20.21758652,0.379584223
8x,BSDS100,236037.png,bicubic,22.87744713,0.4092543721
8x,BSDS100,24077.png,bicubic,20.06921577,0.5807337165
8x,BSDS100,241004.png,bicubic,29.19277954,0.7692331672
8x,BSDS100,241048.png,bicubic,23.11294365,0.474768728
8x,BSDS100,253027.png,bicubic,20.22958565,0.5314947367
8x,BSDS100,253055.png,bicubic,29.6639328,0.7739257216
8x,BSDS100,260058.png,bicubic,30.57951355,0.7338029742
8x,BSDS100,271035.png,bicubic,23.39630508,0.547098875
8x,BSDS100,285079.png,bicubic,21.8000145,0.4681092203
8x,BSDS100,291000.png,bicubic,20.45872116,0.251791507
8x,BSDS100,295087.png,bicubic,25.99671936,0.6227095723
8x,BSDS100,296007.png,bicubic,30.31785011,0.7326619625
8x,BSDS100,296059.png,bicubic,27.81403351,0.6963247061
8x,BSDS100,299086.png,bicubic,29.83074379,0.7557391524
8x,BSDS100,300091.png,bicubic,25.90573311,0.703749299
8x,BSDS100,302008.png,bicubic,21.77902222,0.7846572995
8x,BSDS100,304034.png,bicubic,21.59203339,0.4007799923
8x,BSDS100,304074.png,bicubic,22.97483063,0.4358173609
8x,BSDS100,306005.png,bicubic,24.70698929,0.647313714
8x,BSDS100,3096.png,bicubic,32.08621597,0.9414761066
8x,BSDS100,33039.png,bicubic,18.2707634,0.2798713148
8x,BSDS100,351093.png,bicubic,21.00882721,0.49760589
8x,BSDS100,361010.png,bicubic,23.63772583,0.6191011071
8x,BSDS100,37073.png,bicubic,26.76142883,0.7089717388
8x,BSDS100,376043.png,bicubic,23.13830376,0.3956358433
8x,BSDS100,38082.png,bicubic,25.59127808,0.4607627392
8x,BSDS100,38092.png,bicubic,23.55284691,0.5581950545
8x,BSDS100,385039.png,bicubic,21.18320656,0.5305392146
8x,BSDS100,41033.png,bicubic,26.34322357,0.6620340943
8x,BSDS100,41069.png,bicubic,22.60811806,0.3241195977
8x,BSDS100,42012.png,bicubic,25.63127899,0.6441463232
8x,BSDS100,42049.png,bicubic,24.04403687,0.8132235408
8x,BSDS100,43074.png,bicubic,28.65821075,0.7376329303
8x,BSDS100,45096.png,bicubic,30.96557808,0.891458869
8x,BSDS100,54082.png,bicubic,27.05125999,0.6391660571
8x,BSDS100,55073.png,bicubic,20.73382187,0.3372452855
8x,BSDS100,58060.png,bicubic,20.39203453,0.4443214834
8x,BSDS100,62096.png,bicubic,21.58451843,0.5973461866
8x,BSDS100,65033.png,bicubic,22.70645523,0.3928709328
8x,BSDS100,66053.png,bicubic,24.90226364,0.5316509604
8x,BSDS100,69015.png,bicubic,25.95252991,0.6263566017
8x,BSDS100,69020.png,bicubic,25.60526848,0.4349015355
8x,BSDS100,69040.png,bicubic,22.87565994,0.3932308853
8x,BSDS100,76053.png,bicubic,26.61000252,0.5787485838
8x,BSDS100,78004.png,bicubic,22.91790199,0.5653368831
8x,BSDS100,8023.png,bicubic,25.93108749,0.686319828
8x,BSDS100,85048.png,bicubic,21.82839394,0.4548374414
8x,BSDS100,86000.png,bicubic,22.59910202,0.5883376598
8x,BSDS100,86016.png,bicubic,22.22718811,0.2266428173
8x,BSDS100,86068.png,bicubic,26.26257706,0.4757894278
8x,BSDS100,87046.png,bicubic,22.56186676,0.5490814447
8x,BSDS100,89072.png,bicubic,23.3195858,0.5407496095
8x,BSDS100,97033.png,bicubic,21.23939896,0.4944476187
8x,Manga109,AisazuNihaIrarenai.png,bicubic,24.55665398,0.5951039791
8x,Manga109,AkkeraKanjinchou.png,bicubic,20.36380577,0.5431404114
8x,Manga109,Akuhamu.png,bicubic,26.36294937,0.7990585566
8x,Manga109,AosugiruHaru.png,bicubic,27.08621788,0.8507695794
8x,Manga109,AppareKappore.png,bicubic,22.20257187,0.6535432339
8x,Manga109,Arisa.png,bicubic,22.17326355,0.7165733576
8x,Manga109,ARMS.png,bicubic,23.59939575,0.6079165339
8x,Manga109,BakuretsuKungFuGirl.png,bicubic,20.95258713,0.6152086854
8x,Manga109,Belmondo.png,bicubic,21.18453979,0.6514636874
8x,Manga109,BEMADER_P.png,bicubic,20.42070198,0.676127851
8x,Manga109,BokuHaSitatakaKun.png,bicubic,19.70429611,0.653599143
8x,Manga109,BurariTessenTorimonocho.png,bicubic,19.52322388,0.4774543941
8x,Manga109,ByebyeC-BOY.png,bicubic,22.08376122,0.7608703971
8x,Manga109,Count3DeKimeteAgeru.png,bicubic,21.46251869,0.6861386895
8x,Manga109,DollGun.png,bicubic,20.54646683,0.6042782664
8x,Manga109,Donburakokko.png,bicubic,20.3458519,0.5923853517
8x,Manga109,DualJustice.png,bicubic,20.01377869,0.6538614631
8x,Manga109,EienNoWith.png,bicubic,24.08937454,0.8676148653
8x,Manga109,EvaLady.png,bicubic,26.0283699,0.7889208794
8x,Manga109,EverydayOsakanaChan.png,bicubic,22.69648552,0.8239471912
8x,Manga109,GakuenNoise.png,bicubic,20.43131065,0.6114177704
8x,Manga109,GarakutayaManta.png,bicubic,22.22691727,0.6641945839
8x,Manga109,GinNoChimera.png,bicubic,24.32948303,0.8287628293
8x,Manga109,GOOD_KISS_Ver2.png,bicubic,21.67555809,0.6567518115
8x,Manga109,Hamlet.png,bicubic,18.66206741,0.6992444396
8x,Manga109,HanzaiKousyouninMinegishiEitarou.png,bicubic,21.03798103,0.6822997332
8x,Manga109,HaruichibanNoFukukoro.png,bicubic,23.04553986,0.7916077971
8x,Manga109,HarukaRefrain.png,bicubic,23.87056732,0.7670155168
8x,Manga109,HealingPlanet.png,bicubic,21.70683289,0.7548609376
8x,Manga109,HeiseiJimen.png,bicubic,23.5699482,0.7391477823
8x,Manga109,HighschoolKimengumi_vol01.png,bicubic,17.39719009,0.5350163579
8x,Manga109,HighschoolKimengumi_vol20.png,bicubic,18.92886162,0.5813163519
8x,Manga109,HinagikuKenzan.png,bicubic,24.57819366,0.6735574603
8x,Manga109,HisokaReturns.png,bicubic,21.94427681,0.5139830112
8x,Manga109,JangiriPonpon.png,bicubic,18.98185921,0.549084425
8x,Manga109,JijiBabaFight.png,bicubic,21.641716,0.6537678838
8x,Manga109,Joouari.png,bicubic,21.09652519,0.6109819412
8x,Manga109,Jyovolley.png,bicubic,21.5954361,0.7405130267
8x,Manga109,KarappoHighschool.png,bicubic,25.4407692,0.7980005741
8x,Manga109,KimiHaBokuNoTaiyouDa.png,bicubic,20.03352165,0.522415936
8x,Manga109,KoukouNoHitotachi.png,bicubic,22.07242966,0.5606762767
8x,Manga109,KuroidoGanka.png,bicubic,22.0850544,0.6535689235
8x,Manga109,KyokugenCyclone.png,bicubic,16.47008133,0.3706942499
8x,Manga109,LancelotFullThrottle.png,bicubic,23.75883102,0.7955540419
8x,Manga109,LoveHina_vol01.png,bicubic,19.53215218,0.7530859709
8x,Manga109,LoveHina_vol14.png,bicubic,20.83637619,0.6030513048
8x,Manga109,MAD_STONE.png,bicubic,26.17648125,0.7703768015
8x,Manga109,MadouTaiga.png,bicubic,20.38850784,0.6192880273
8x,Manga109,MagicianLoad.png,bicubic,22.12465668,0.5487903953
8x,Manga109,MagicStarGakuin.png,bicubic,20.87701988,0.6001244783
8x,Manga109,MariaSamaNihaNaisyo.png,bicubic,21.51544189,0.7505552769
8x,Manga109,MayaNoAkaiKutsu.png,bicubic,22.98228073,0.7330749035
8x,Manga109,MemorySeijin.png,bicubic,30.87820435,0.8198123574
8x,Manga109,MeteoSanStrikeDesu.png,bicubic,24.47743607,0.7705637217
8x,Manga109,MiraiSan.png,bicubic,19.06701851,0.3817594051
8x,Manga109,MisutenaideDaisy.png,bicubic,22.79762077,0.7859616876
8x,Manga109,MoeruOnisan_vol01.png,bicubic,19.98864937,0.6794772148
8x,Manga109,MoeruOnisan_vol19.png,bicubic,21.85769081,0.6666846275
8x,Manga109,MomoyamaHaikagura.png,bicubic,20.76801109,0.5200210214
8x,Manga109,MukoukizuNoChonbo.png,bicubic,22.30459976,0.8151612282
8x,Manga109,MutekiBoukenSyakuma.png,bicubic,20.87457848,0.6641258597
8x,Manga109,Nekodama.png,bicubic,21.09951973,0.6749910712
8x,Manga109,NichijouSoup.png,bicubic,22.30425072,0.7205299735
8x,Manga109,Ningyoushi.png,bicubic,25.05926895,0.7609055638
8x,Manga109,OhWareraRettouSeitokai.png,bicubic,22.07938385,0.7118270397
8x,Manga109,OL_Lunch.png,bicubic,19.55643082,0.699765861
